player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3023,Yuri Berchiche Izeta,Real Sociedad,210,['Left Back'],21
3063,Danilo Luiz da Silva,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing']",24
3084,Christian Atsu Twasam,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Left Center Back']",11
3130,Gaël Kakuta,Sevilla,213,"['Left Midfield', 'Right Wing']",2
3160,Rene Krhin,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield']",23
3236,Sergi Darder Moll,Málaga,223,['Left Defensive Midfield'],1
3240,Mathew Ryan,Valencia,207,['Goalkeeper'],8
3253,Adil Rami,Sevilla,213,"['Right Center Back', 'Left Center Back', 'Center Attacking Midfield']",28
3292,Abdoulaye Doucouré,Granada,1049,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']",15
3302,Nordin Amrabat,Málaga,223,"['Left Midfield', 'Right Midfield', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward']",13
3324,Eric Bertrand Bailly,Villarreal,222,"['Right Center Back', 'Left Center Back', 'Right Back', 'Left Back']",25
3379,Alphonse Areola,Villarreal,222,['Goalkeeper'],32
3486,Fernando Llorente Torres,Sevilla,213,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']",23
3497,Vicente Iborra De La Fuente,Sevilla,213,"['Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Attacking Midfield']",29
3508,Sandro Ramírez Castillo,Barcelona,217,"['Left Wing', 'Center Forward', 'Right Wing', 'Right Midfield']",10
3601,Charly Musonda Junior,Real Betis,218,"['Right Midfield', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Defensive Midfield', 'Right Wing Back', 'Left Wing Back', 'Left Center Midfield']",16
3610,Roque Mesa Quevedo,Las Palmas,208,"['Right Wing', 'Right Center Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Back']",34
3637,Grzegorz Krychowiak,Sevilla,213,"['Left Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Center Back']",26
3638,Shkodran Mustafi,Valencia,207,"['Right Center Back', 'Center Back']",30
3990,Jesé Rodríguez Ruiz,Real Madrid,220,"['Center Forward', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Right Center Midfield', 'Left Midfield']",28
4320,Neymar da Silva Santos Junior,Barcelona,217,"['Left Wing', 'Left Midfield']",34
4324,Daniel Alves da Silva,Barcelona,217,"['Right Back', 'Left Center Back']",29
4353,Aymeric Laporte,Athletic Club,215,['Left Center Back'],26
4406,Aymen Abdennour,Valencia,207,"['Left Center Back', 'Left Back']",22
4418,Matheus Dória Macedo,Granada,1049,['Left Center Back'],8
4498,Jean-Sylvain Claude Babin,Granada,1049,"['Right Center Back', 'Left Center Back']",25
4546,Dimitri Foulquier,Granada,1049,"['Right Back', 'Right Wing', 'Right Wing Back', 'Right Midfield', 'Left Back']",21
4558,Pape Cheikh Diop Gueye,Celta Vigo,209,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield']",4
4691,Claudio Andrés Bravo Muñoz,Barcelona,217,['Goalkeeper'],32
4711,Pablo Hernández Domínguez,Rayo Vallecano,360,"['Center Attacking Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Wing', 'Left Wing Back', 'Left Center Midfield', 'Right Wing Back', 'Left Midfield', 'Right Center Midfield', 'Right Midfield']",27
4741,Juan Rafael Fuentes Hernández,Espanyol,214,['Left Back'],10
4788,Jesús Gámez Duarte,Atlético Madrid,212,"['Left Back', 'Right Back', 'Left Center Forward', 'Right Midfield']",10
4926,Francisco Román Alarcón Suárez,Real Madrid,220,"['Right Wing', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield']",31
5186,Denis Cheryshev,Valencia,207,"['Left Wing', 'Left Midfield', 'Right Midfield', 'Left Wing Back', 'Center Attacking Midfield']",9
5199,Jorge Resurrección Merodio,Atlético Madrid,212,"['Left Midfield', 'Left Center Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield']",35
5200,Lucas Vázquez Iglesias,Real Madrid,220,"['Center Forward', 'Right Wing', 'Right Center Midfield', 'Left Wing', 'Right Midfield', 'Right Back']",25
5201,Sergio Ramos García,Real Madrid,220,"['Left Center Back', 'Right Center Back', 'Center Back']",23
5202,José Ignacio Fernández Iglesias,Real Madrid,220,"['Left Center Back', 'Right Center Midfield', 'Left Back', 'Right Back', 'Right Center Back']",16
5203,Sergio Busquets i Burgos,Barcelona,217,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield']",35
5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,220,"['Left Wing', 'Center Forward', 'Left Center Forward', 'Right Center Forward']",36
5211,Jordi Alba Ramos,Barcelona,217,['Left Back'],31
5213,Gerard Piqué Bernabéu,Barcelona,217,['Right Center Back'],30
5216,Andrés Iniesta Luján,Barcelona,217,"['Left Center Midfield', 'Right Center Midfield', 'Right Wing']",28
5217,Iago Aspas Juncal,Celta Vigo,209,"['Center Forward', 'Right Center Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Right Wing', 'Center Attacking Midfield']",35
5246,Luis Alberto Suárez Díaz,Barcelona,217,"['Center Forward', 'Left Center Forward', 'Right Wing']",35
5249,Diego Roberto Godín Leal,Atlético Madrid,212,"['Left Center Back', 'Center Back', 'Right Center Back']",31
5259,José María Giménez de Vargas,Atlético Madrid,212,"['Right Center Back', 'Left Center Back', 'Right Center Forward']",27
5456,Mateo Kovačić,Real Madrid,220,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Center Midfield', 'Center Defensive Midfield']",25
5463,Luka Modrić,Real Madrid,220,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Forward']",32
5470,Ivan Rakitić,Barcelona,217,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Wing']",36
5484,Lucas Hernández Pi,Atlético Madrid,212,"['Left Back', 'Left Center Back']",10
5485,Raphaël Varane,Real Madrid,220,"['Right Center Back', 'Left Center Back']",26
5487,Antoine Griezmann,Atlético Madrid,212,"['Left Center Forward', 'Right Wing', 'Right Center Forward', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Center Forward', 'Center Attacking Midfield']",38
5503,Lionel Andrés Messi Cuccittini,Barcelona,217,"['Right Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Center Forward']",33
5504,Éver Maximiliano David Banega,Sevilla,213,"['Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Wing']",25
5506,Javier Alejandro Mascherano,Barcelona,217,"['Right Center Back', 'Center Defensive Midfield', 'Left Center Back']",32
5539,Carlos Henrique Casimiro,Real Madrid,220,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Back']",23
5552,Marcelo Vieira da Silva Júnior,Real Madrid,220,"['Left Back', 'Right Back', 'Left Wing Back']",30
5560,Carlos Alberto Vela Garrido,Real Sociedad,210,"['Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Center Forward', 'Left Center Forward', 'Right Midfield']",35
5574,Toni Kroos,Real Madrid,220,"['Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield']",32
5577,Francisco Guillermo Ochoa Magaña,Málaga,223,['Goalkeeper'],11
5582,Celso Borges Mora,RC Deportivo La Coruña,219,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Center Defensive Midfield']",24
5588,Antonio Rukavina,Villarreal,222,"['Right Back', 'Left Back', 'Right Midfield']",18
5597,Keylor Navas Gamboa,Real Madrid,220,['Goalkeeper'],34
5598,Óscar Esau Duarte Gaitán,Espanyol,214,"['Right Center Back', 'Left Center Back', 'Left Defensive Midfield', 'Center Back', 'Center Defensive Midfield']",14
5633,Yannick Ferreira Carrasco,Atlético Madrid,212,"['Left Midfield', 'Right Midfield', 'Left Wing', 'Right Defensive Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Forward', 'Center Forward', 'Left Defensive Midfield']",29
5671,Alfred John Momar N''Diaye,Real Betis,218,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Back', 'Left Back', 'Right Center Back']",34
5678,Jefferson Andrés Lerma Solís,Levante UD,221,"['Right Center Forward', 'Left Center Midfield', 'Right Wing', 'Left Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Back', 'Right Midfield']",33
5687,Takashi Inui,Eibar,322,"['Left Wing', 'Left Midfield', 'Left Center Forward', 'Right Midfield', 'Right Wing', 'Right Center Midfield']",27
5695,James David Rodríguez Rubio,Real Madrid,220,"['Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Forward', 'Center Defensive Midfield', 'Left Wing']",26
5718,Rodrigo Moreno Machado,Valencia,207,"['Left Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Left Back', 'Right Wing', 'Right Midfield', 'Center Defensive Midfield', 'Left Wing Back', 'Left Midfield']",25
5719,Marco Asensio Willemsen,Espanyol,214,"['Center Attacking Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Right Center Midfield', 'Left Center Forward']",34
5721,Daniel Carvajal Ramos,Real Madrid,220,"['Right Back', 'Left Back', 'Right Wing Back']",22
5724,Fayçal Fajr,RC Deportivo La Coruña,219,"['Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Right Midfield', 'Right Wing', 'Right Center Forward', 'Right Center Midfield', 'Left Center Back']",38
5737,Steven N''Kemboanza Mike Christopher Nzonzi,Sevilla,213,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Wing', 'Left Center Midfield']",28
5741,Enzo Nicolás Pérez,Valencia,207,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Center Back']",20
6038,John Guidetti,Celta Vigo,209,"['Right Center Midfield', 'Right Back', 'Center Forward', 'Left Center Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Center Defensive Midfield', 'Left Defensive Midfield']",35
6320,Filipe Luís Kasmirski,Atlético Madrid,212,"['Left Back', 'Left Wing Back']",32
6332,Thomas Vermaelen,Barcelona,217,"['Left Center Back', 'Center Defensive Midfield', 'Right Center Back']",10
6349,Federico Julián Fazio,Sevilla,213,"['Left Center Back', 'Right Center Back']",4
6356,Michael Krohn-Dehli,Sevilla,213,"['Right Defensive Midfield', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Center Attacking Midfield', 'Left Back', 'Left Center Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Wing']",27
6357,Jonathan dos Santos Ramírez,Villarreal,222,"['Right Defensive Midfield', 'Right Midfield', 'Left Center Midfield', 'Left Wing', 'Right Center Midfield', 'Right Back', 'Right Wing', 'Left Defensive Midfield']",26
6375,Juan Francisco Torres Belén,Atlético Madrid,212,"['Right Back', 'Right Wing Back', 'Right Center Forward', 'Right Midfield']",35
6376,Stefan Savić,Atlético Madrid,212,"['Right Center Back', 'Left Center Back']",12
6377,Ángel Martín Correa,Atlético Madrid,212,"['Center Attacking Midfield', 'Left Wing', 'Left Midfield', 'Right Center Forward', 'Right Midfield', 'Right Center Midfield', 'Right Wing', 'Left Center Midfield', 'Left Center Forward', 'Center Forward']",26
6378,Jan Oblak,Atlético Madrid,212,['Goalkeeper'],38
6379,Sergi Roberto Carnicer,Barcelona,217,"['Right Back', 'Right Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Wing', 'Center Defensive Midfield', 'Left Back']",31
6381,Saúl Ñíguez Esclapez,Atlético Madrid,212,"['Right Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Center Forward', 'Center Defensive Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Center Back', 'Right Wing', 'Right Center Forward', 'Right Center Back']",31
6382,Fernando José Torres Sanz,Atlético Madrid,212,"['Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Defensive Midfield', 'Right Midfield']",30
6383,Thomas Teye Partey,Atlético Madrid,212,"['Left Center Forward', 'Right Center Midfield', 'Left Wing', 'Right Defensive Midfield', 'Center Forward', 'Center Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Wing']",13
6384,Gabriel Fernández Arenas,Atlético Madrid,212,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Midfield']",35
6386,Eneko Bóveda Altube,Athletic Club,215,"['Right Back', 'Right Wing', 'Right Defensive Midfield', 'Right Center Back', 'Right Wing Back']",23
6388,Ander Iturraspe Derteano,Athletic Club,215,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Center Attacking Midfield']",16
6389,Mikel San José Domínguez,Athletic Club,215,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Center Defensive Midfield', 'Right Wing', 'Right Center Back', 'Center Back', 'Center Attacking Midfield']",34
6390,Markel Susaeta Laskurain,Athletic Club,215,"['Right Wing', 'Left Wing', 'Right Midfield', 'Left Defensive Midfield']",28
6391,Raúl García Escudero,Athletic Club,215,"['Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Left Wing', 'Right Center Forward', 'Center Forward', 'Right Back']",31
6392,Íñigo Lekue Martínez,Athletic Club,215,"['Left Back', 'Right Wing', 'Left Wing', 'Left Midfield', 'Right Attacking Midfield', 'Right Back', 'Center Forward']",20
6393,Iñaki Williams Arthuer,Athletic Club,215,"['Right Wing', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Center Forward', 'Left Center Back']",25
6394,Aritz Aduriz Zubeldia,Athletic Club,215,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing']",34
6396,Beñat Etxebarria Urkiaga,Athletic Club,215,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield']",36
6399,Gareth Frank Bale,Real Madrid,220,"['Center Attacking Midfield', 'Center Forward', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Left Midfield', 'Left Center Midfield']",23
6400,Aleix Vidal Parreu,Barcelona,217,['Right Back'],9
6401,Kevin Gameiro,Sevilla,213,"['Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Right Defensive Midfield', 'Right Wing', 'Left Defensive Midfield']",31
6402,Francisco Alcácer García,Valencia,207,"['Center Forward', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Right Wing']",34
6557,Adrián González Morales,Eibar,322,"['Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Right Center Forward']",32
6559,Juan Carlos Pérez López,Málaga,223,"['Left Midfield', 'Left Wing', 'Left Back']",19
6561,Luis Hernández Rodríguez,Sporting Gijón,1041,"['Right Center Back', 'Right Back', 'Left Center Back']",36
6563,Juan Pablo Añor Acosta,Málaga,223,"['Right Defensive Midfield', 'Right Wing', 'Left Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Back', 'Left Midfield']",29
6566,Borja González Tomás,Eibar,322,"['Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward']",36
6569,Roberto José Rosales Altuve,Málaga,223,['Right Back'],35
6573,Bernardo José Espinosa Zúñiga,Sporting Gijón,1041,"['Left Center Back', 'Right Center Back', 'Center Back']",16
6576,Gorka Iraizoz Moreno,Athletic Club,215,['Goalkeeper'],37
6580,José Luis García del Pozo,Málaga,223,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Midfield']",33
6581,Jonathan Rodríguez Menéndez,Sporting Gijón,1041,"['Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Wing Back', 'Center Forward']",36
6592,Rúben Miguel Nunes Vezo,Valencia,207,"['Left Center Back', 'Right Center Back', 'Right Back', 'Left Midfield']",15
6593,Martín Montoya Torralbo,Real Betis,218,"['Right Back', 'Left Back']",13
6594,Santiago Mina Lorenzo,Valencia,207,"['Right Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Midfield', 'Center Forward', 'Right Attacking Midfield', 'Right Wing Back', 'Right Midfield', 'Right Defensive Midfield', 'Right Center Midfield']",26
6595,Daniel Parejo Muñoz,Valencia,207,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing']",33
6596,José Luis Gayà Peña,Valencia,207,"['Left Back', 'Left Midfield']",20
6599,Rubén Salvador Pérez Del Mármol,Granada,1049,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Back']",31
6600,Claudio Beauvue,Celta Vigo,209,"['Center Forward', 'Right Wing', 'Left Center Forward']",10
6602,Miguel Ángel Guerrero Martín,Sporting Gijón,1041,"['Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield']",23
6605,Joseba Zaldúa Bengoetxea,Real Sociedad,210,"['Right Back', 'Left Wing']",13
6606,Javier Eraso Goñi,Athletic Club,215,"['Center Attacking Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Center Forward', 'Right Wing']",16
6608,Nabil El Zhar,Las Palmas,208,"['Right Center Forward', 'Right Wing', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Wing Back', 'Left Wing', 'Right Midfield', 'Center Attacking Midfield', 'Right Back', 'Left Midfield']",30
6609,Denis Suárez Fernández,Villarreal,222,"['Right Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Wing']",33
6610,Iván Cuéllar Sacristán,Sporting Gijón,1041,['Goalkeeper'],32
6612,Rubén Duarte Sánchez,Espanyol,214,"['Left Back', 'Left Center Back', 'Left Wing Back']",22
6614,Alexis Ruano Delgado,Getafe,216,"['Left Center Back', 'Right Back']",15
6616,Munir El Haddadi Mohamed,Barcelona,217,"['Right Wing', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Left Center Midfield', 'Center Forward']",15
6617,Ibai Gómez Pérez,Athletic Club,215,"['Left Wing', 'Left Midfield', 'Right Wing']",5
6622,Tomás Pina Isla,Villarreal,222,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield']",27
6624,Jorge Franco Alviz,Espanyol,214,"['Left Wing', 'Right Center Back', 'Left Midfield', 'Right Wing', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Wing Back']",26
6625,Vicente Guaita Panadero,Getafe,216,['Goalkeeper'],38
6626,Mubarak Wakaso,Las Palmas,208,"['Right Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Back', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Defensive Midfield']",19
6627,Damián Nicolás Suárez Suárez,Getafe,216,"['Right Back', 'Left Wing', 'Left Back', 'Right Center Back']",31
6630,Jorge Molina Vidal,Real Betis,218,"['Right Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Forward']",23
6633,Markel Bergara Larrañaga,Real Sociedad,210,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Center Defensive Midfield', 'Right Center Midfield']",20
6647,Zouhair Feddal,Levante UD,221,"['Center Back', 'Left Center Back']",28
6649,Óscar de Marcos Arana,Athletic Club,215,"['Right Back', 'Left Back', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Wing Back', 'Left Center Forward']",34
6651,Joaquín Sánchez Rodríguez,Real Betis,218,"['Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Wing Back', 'Right Wing Back', 'Right Center Midfield']",30
6654,Antonio Adán Garrido,Real Betis,218,['Goalkeeper'],36
6655,Fabián Ruiz Peña,Real Betis,218,"['Left Defensive Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Forward', 'Right Back']",12
6656,Mikel Rico Moreno,Athletic Club,215,"['Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield']",17
6659,Víctor Camarasa Ferrando,Levante UD,221,"['Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Wing Back', 'Left Defensive Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Center Forward', 'Left Midfield']",34
6662,Iago Herrerín Buisán,Athletic Club,215,['Goalkeeper'],2
6663,Antonio Barragán Fernández,Valencia,207,"['Right Wing', 'Right Back', 'Right Center Back', 'Right Wing Back']",24
6665,Íñigo Martínez Berridi,Real Sociedad,210,['Left Center Back'],30
6666,Sabin Merino Zuloaga,Athletic Club,215,"['Left Wing', 'Right Wing', 'Right Midfield', 'Center Forward', 'Left Center Forward', 'Left Midfield']",22
6668,José Luis Morales Nogales,Levante UD,221,"['Right Wing Back', 'Right Back', 'Left Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield']",35
6669,David Zurutuza Veillet,Real Sociedad,210,"['Center Attacking Midfield', 'Left Wing', 'Center Forward', 'Left Center Midfield', 'Right Wing']",16
6671,Asier Illarramendi Andonegi,Real Sociedad,210,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']",33
6672,Jorge Andújar Moreno,Sevilla,213,"['Right Back', 'Left Center Back', 'Left Back', 'Right Defensive Midfield', 'Right Wing', 'Substitute']",22
6673,Sergio Canales Madrazo,Real Sociedad,210,"['Left Midfield', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Left Center Midfield', 'Right Center Midfield']",16
6674,Alberto De La Bella Madureño,Real Sociedad,210,"['Left Back', 'Left Center Back']",15
6675,Antonio Manuel Luna Rodríguez,Eibar,322,"['Left Back', 'Right Center Forward', 'Right Wing', 'Left Midfield']",15
6676,Igor Zubeldia Elorza,Real Sociedad,210,['Left Defensive Midfield'],1
6677,Imanol Agirretxe Arruti,Real Sociedad,210,"['Left Back', 'Center Forward', 'Left Center Forward', 'Right Wing', 'Left Wing']",16
6679,Aritz Elustondo Irribaria,Real Sociedad,210,"['Right Back', 'Right Center Back']",31
6680,Rubén Rochina Naixes,Granada,1049,"['Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Center Midfield', 'Center Forward', 'Right Center Midfield', 'Right Midfield', 'Center Defensive Midfield', 'Left Center Forward']",35
6684,Roger Martí Salvador,Levante UD,221,"['Left Center Forward', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Right Wing', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield']",16
6685,Mikel Oyarzabal Ugarte,Real Sociedad,210,"['Center Forward', 'Right Wing', 'Left Wing', 'Right Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield']",22
6690,Xabier Prieto Argarate,Real Sociedad,210,"['Right Midfield', 'Right Wing', 'Left Wing', 'Right Back', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']",36
6692,Oier Olazábal Paredes,Real Sociedad,210,['Goalkeeper'],3
6694,Gerónimo Rulli,Real Sociedad,210,['Goalkeeper'],36
6697,Daniel Ceballos Fernández,Real Betis,218,"['Right Midfield', 'Right Center Forward', 'Left Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Back', 'Left Wing', 'Left Center Forward']",34
6699,Ander Capa Rodríguez,Eibar,322,"['Right Back', 'Right Wing']",36
6700,Sergio Enrich Ametller,Eibar,322,"['Center Forward', 'Left Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing', 'Right Center Midfield', 'Left Wing']",38
6701,Joan Jordán Moreno,Espanyol,214,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Defensive Midfield']",9
6702,David Rodríguez Lombán,Granada,1049,"['Left Center Back', 'Right Center Back', 'Center Back', 'Right Back', 'Left Back']",30
