main_position,player_id,player_name,team,team_id,minutes_played,goal_assists_per90,key_passes_per90,progressive_passes_per90,duels_won_per90,duel_success_rate,pass_completion_rate,shots_total_per90,xg_total_per90,dribbles_completed_per90,goals_scored_per90,dribble_success_rate,progressive_carries_per90,fouls_won_per90,chances_created_per90,rating
Center Attacking Midfield,3497,Vicente Iborra De La Fuente,Sevilla,213,1949,17.307692307692307,2.7118644067796613,14.504283965728277,26.51162790697675,62.23307998552299,32.9218106995885,30.824372759856626,80.00000000000001,5.846153846153846,52.459016393442624,68.53846153846153,15.361445783132533,13.28125,4.3604651162790695,26.541426231602625
Center Attacking Midfield,4711,Pablo Hernández Domínguez,Rayo Vallecano,360,2232,23.076923076923077,21.016949152542374,48.28641370869033,27.441860465116285,42.85197249366631,58.885147774036675,28.673835125448026,17.142857142857142,27.076923076923077,19.672131147540984,52.98461538461539,47.665662650602414,6.8359375,20.63953488372093,27.011345447845358
Center Attacking Midfield,5504,Éver Maximiliano David Banega,Sevilla,213,1864,17.307692307692307,47.79661016949153,100.0,57.209302325581405,56.76800579080709,65.99326599326602,45.51971326164875,34.285714285714285,100.0,39.34426229508197,90.76923076923077,93.59939759036145,47.4609375,43.02325581395349,50.43022912527407
Center Attacking Midfield,5719,Marco Asensio Willemsen,Espanyol,214,3073,50.0,42.03389830508474,26.25458996328029,32.09302325581396,52.55157437567861,47.84885895997007,39.78494623655913,40.00000000000001,52.307692307692314,18.0327868852459,68.4,74.17168674698796,28.515625,43.02325581395349,38.46999522946015
Center Attacking Midfield,6391,Raúl García Escudero,Athletic Club,215,2509,40.38461538461538,6.101694915254237,41.79926560587515,76.74418604651164,77.83206659428159,11.672278338945025,79.56989247311829,45.714285714285715,20.615384615384617,40.98360655737705,56.415384615384625,35.316265060240966,49.02343750000001,10.75581395348837,34.35334507198737
Center Attacking Midfield,6557,Adrián González Morales,Eibar,322,2413,0.0,7.118644067796611,34.944920440636466,24.651162790697676,58.812884545783575,45.82865693976808,40.86021505376344,40.00000000000001,11.076923076923077,29.508196721311474,48.276923076923076,21.385542168674696,0.39062500000000033,5.232558139534883,19.641932537894014
Center Attacking Midfield,6673,Sergio Canales Madrazo,Real Sociedad,210,1020,0.0,15.593220338983048,30.78335373317013,39.06976744186047,73.0184581976113,63.89824167601949,53.76344086021505,14.285714285714288,0.0,0.0,0.0,49.096385542168676,17.3828125,12.5,12.732345839414457
Center Attacking Midfield,6680,Rubén Rochina Naixes,Granada,1049,2705,36.53846153846153,29.491525423728817,73.3170134638923,45.58139534883721,57.43756786102063,28.245417134306045,70.96774193548387,22.857142857142858,70.15384615384615,31.147540983606557,86.70769230769231,56.09939759036144,50.390625,30.232558139534888,44.07642266854161
Center Attacking Midfield,6697,Daniel Ceballos Fernández,Real Betis,218,2054,15.384615384615385,16.94915254237288,63.34149326805385,73.48837209302326,64.78465436120159,77.70295548073328,4.659498207885305,0.0,76.92307692307693,0.0,68.66153846153847,97.21385542168676,70.1171875,15.988372093023257,30.36725034866923
Center Attacking Midfield,6852,Jozabed Sánchez Ruiz,Rayo Vallecano,360,2227,15.384615384615385,22.711864406779664,32.374541003671965,29.30232558139535,79.04451682953312,84.24990647212871,43.01075268817205,51.42857142857144,25.846153846153847,59.01639344262295,77.73846153846155,37.424698795180724,14.0625,20.930232558139533,35.85144419003252
Center Attacking Midfield,6926,Alen Halilović,Sporting Gijón,1041,2235,38.46153846153847,16.94915254237288,34.14932680538556,1.3953488372093024,12.685486789721315,62.663673774784925,63.08243727598567,37.142857142857146,85.23076923076923,19.672131147540984,68.0,93.97590361445783,34.37500000000001,19.476744186046517,37.86045791798615
Center Attacking Midfield,6928,Pedro Taunausú Domínguez Placeres,Las Palmas,208,2420,21.153846153846153,22.033898305084747,16.09547123623011,43.72093023255814,100.0,87.05574261129819,19.354838709677416,20.000000000000004,36.30769230769231,29.508196721311474,67.64615384615385,64.45783132530121,32.2265625,21.511627906976745,29.230630245050975
Center Attacking Midfield,7782,Luis Alberto Romero Alconchel,RC Deportivo La Coruña,219,2328,44.230769230769226,21.016949152542374,24.663402692778455,38.6046511627907,80.94462540716613,20.127197904975695,87.45519713261648,62.85714285714287,41.53846153846153,37.704918032786885,63.676923076923075,52.86144578313253,6.8359375,23.837209302325586,36.78890183337807
Center Attacking Midfield,15893,Víctor Rodríguez Romero,Getafe,216,2418,5.769230769230769,12.203389830508476,11.3219094247246,31.627906976744192,76.43865363735071,88.17807706696597,37.99283154121864,28.571428571428577,36.30769230769231,11.475409836065575,62.69230769230769,68.1475903614458,19.335937500000004,10.46511627906977,21.82342688531555
Center Attacking Midfield,24783,Javier Márquez Moreno,Granada,1049,1497,11.538461538461538,8.135593220338984,62.17870257037944,65.58139534883722,68.71154542164315,44.74373363262253,25.448028673835125,2.8571428571428577,14.153846153846155,0.0,100.0,32.07831325301205,23.242187499999996,7.848837209302324,22.986740632615106
Center Attacking Midfield,40822,Daniel Arnaud N''Di	,Sporting Gijón,1041,927,0.0,8.474576271186441,6.181150550795592,26.04651162790698,97.14078899746652,28.694350916573175,19.713261648745515,37.142857142857146,48.3076923076923,14.754098360655737,85.2,41.1144578313253,67.57812500000001,6.395348837209303,21.61992251417526
Center Attacking Midfield,3064,David Josué Jiménez Silva,Manchester City,36,2056,82.6923076923077,59.66101694915255,71.05263157894737,36.74418604651163,61.90734708650019,86.45716423494206,23.297491039426525,25.71428571428572,39.07692307692307,13.114754098360656,80.0,88.4789156626506,21.289062499999996,63.08139534883721,51.35154371005114
Center Attacking Midfield,3094,Bamidele Alli,Tottenham Hotspur,38,2622,51.92307692307693,40.33898305084746,27.968176254589967,55.348837209302324,68.29533116178068,55.59296670407785,67.74193548387098,71.42857142857143,41.84615384615385,55.73770491803279,45.55384615384615,60.54216867469879,38.28125,41.56976744186046,45.72595730785397
Center Attacking Midfield,3496,Mesut Özil,Arsenal,1,3283,100.0,100.0,70.19583843329252,18.13953488372093,69.45349258052842,82.82828282828287,26.16487455197133,37.142857142857146,43.07692307692307,26.229508196721312,74.92307692307692,73.3433734939759,16.40625,100.0,62.931123298993015
Center Attacking Midfield,3535,Roberto Firmino Barbosa de Oliveira,Liverpool,24,2259,51.92307692307693,35.59322033898305,11.811505507955934,82.79069767441861,74.62902642055738,56.116722783389484,70.60931899641578,74.28571428571429,64.92307692307692,63.934426229508205,78.63076923076923,46.611445783132524,5.859375000000001,37.7906976744186,47.58132005459798
Center Attacking Midfield,3567,Georginio Wijnaldum,Newcastle United,37,3389,19.230769230769234,19.661016949152543,10.77111383108935,28.37209302325581,85.93919652551575,90.53497942386835,29.39068100358423,48.57142857142858,63.69230769230769,47.540983606557376,91.12307692307692,46.31024096385543,20.703125,19.18604651162791,36.002366225109945
Center Attacking Midfield,3606,Ander Herrera Agüera,Manchester United,39,1595,21.153846153846153,23.728813559322038,51.591187270501834,100.0,85.70394498733262,84.32472876917322,26.523297491039433,34.285714285714285,33.84615384615384,26.229508196721312,76.92307692307693,44.35240963855422,19.921875,22.96511627906977,33.37483646730732
Center Attacking Midfield,3629,Sadio Mané,Southampton,25,2825,36.53846153846153,25.423728813559322,12.545899632802938,35.8139534883721,54.36120159247195,69.734380845492,75.98566308243728,100.0,75.6923076923077,57.377049180327866,68.33846153846153,71.31024096385543,42.1875,26.453488372093027,46.08242346338068
Center Attacking Midfield,3828,Steven Davis,Southampton,25,2915,11.538461538461538,33.89830508474576,61.19951040391677,41.86046511627908,54.16214259862468,75.8323980546203,0.0,8.571428571428571,19.384615384615383,24.59016393442623,82.9076923076923,51.581325301204814,3.125000000000001,29.94186046511628,29.115896389407247
Center Attacking Midfield,3944,Gylfi Þór Sigurðsson,Swansea City,26,3011,15.384615384615385,43.389830508474574,22.215422276621787,27.441860465116285,71.51646760767282,46.65170220725779,73.47670250896059,54.28571428571429,24.000000000000004,52.459016393442624,67.23076923076924,25.07530120481928,7.2265625,38.95348837209303,35.52390461150687
Center Attacking Midfield,4090,Adam David Lallana,Liverpool,24,2165,55.76923076923076,47.45762711864407,20.62423500611995,65.58139534883722,68.06007962359753,69.884025439581,40.501792114695334,37.142857142857146,52.307692307692314,26.229508196721312,75.23076923076923,69.4277108433735,17.1875,48.54651162790698,42.05329799986058
Center Attacking Midfield,4275,Ross Barkley,Everton,29,3390,40.38461538461538,34.23728813559322,42.594859241126066,15.813953488372098,60.948244661599716,87.76655443322112,68.45878136200717,48.57142857142858,74.15384615384616,34.42622950819672,84.35384615384615,75.6777108433735,32.6171875,34.593023255813954,46.30328162882701
Center Attacking Midfield,4891,Ibrahim Afellay,Stoke City,30,2248,15.384615384615385,11.525423728813559,36.964504283965724,29.30232558139535,88.09265291349982,99.88776655443327,34.05017921146953,14.285714285714288,46.76923076923077,13.114754098360656,88.92307692307692,71.61144578313254,20.898437499999996,11.337209302325581,28.97301081786927
Center Attacking Midfield,4913,Bojan Krkíc Pérez,Stoke City,30,2065,7.6923076923076925,24.067796610169488,15.11627906976744,0.0,34.61816865725661,78.30153385708942,35.842293906810035,51.42857142857144,56.30769230769231,49.18032786885246,61.53846153846154,61.14457831325301,17.7734375,20.930232558139533,31.903375004217963
Center Attacking Midfield,9528,Steven Naismith,Norwich City,56,1410,11.538461538461538,24.406779661016948,11.444308445532435,37.674418604651166,68.18675352877307,51.40291806958474,37.27598566308244,48.57142857142858,19.076923076923077,40.98360655737705,39.184615384615384,31.250000000000007,41.60156250000001,22.093023255813954,26.48969179197819
Center Attacking Midfield,9638,Jack Grealish,Aston Villa,59,850,0.0,25.08474576271186,13.708690330477353,0.0,42.85197249366631,73.36326225215117,38.70967741935484,11.42857142857143,59.38461538461538,16.393442622950822,73.2,88.78012048192771,31.445312500000007,20.63953488372093,25.13299136499155
Center Attacking Midfield,10966,Wes Hoolahan,Norwich City,56,2352,50.0,34.91525423728813,36.964504283965724,14.883720930232561,31.54180238870793,75.45828656939773,13.620071684587815,28.571428571428577,36.30769230769231,24.59016393442623,73.67692307692307,71.76204819277109,23.828125000000004,36.91860465116279,37.91847257763086
Center Attacking Midfield,19688,Jason Puncheon,Crystal Palace,31,2910,17.307692307692307,42.3728813559322,47.36842105263158,41.86046511627908,66.66666666666666,56.640478862701116,36.55913978494624,22.857142857142858,46.76923076923077,9.836065573770492,81.0,56.77710843373494,12.109375,38.08139534883721,31.896341414153213
Center Attacking Midfield,40122,Oscar dos Santos Emboaba Júnior,Chelsea,33,1891,26.923076923076927,29.152542372881356,39.04528763769889,73.95348837209303,61.527325370973585,78.71305649083428,64.87455197132617,60.0,54.46153846153846,22.95081967213115,65.6923076923077,71.31024096385543,26.953125,28.197674418604652,37.531858334030325
Center Attacking Midfield,6719,Franco Damián Vázquez,Palermo,2256,3357,34.61538461538461,28.474576271186443,48.531211750306,54.88372093023256,63.08360477741586,50.99139543583989,79.92831541218638,54.28571428571429,76.61538461538461,34.42622950819672,62.35384615384616,100.0,100.0,28.77906976744186,45.79404868263408
Center Attacking Midfield,7045,Valter Birsa,Chievo,231,2998,40.38461538461538,38.64406779661017,31.578947368421055,20.93023255813954,47.15888526963446,28.656939768050897,36.20071684587815,37.142857142857146,42.76923076923077,29.508196721311474,74.35384615384615,42.16867469879518,10.351562499999998,38.372093023255815,35.768382798486364
Center Attacking Midfield,7139,Josip Iličić,Fiorentina,239,2242,38.46153846153847,41.35593220338983,28.335373317013456,12.558139534883722,73.0184581976113,67.56453423120095,84.5878136200717,97.14285714285714,43.07692307692307,85.24590163934427,74.96923076923076,59.18674698795181,27.1484375,40.40697674418605,52.0980564017728
Center Attacking Midfield,7150,Riccardo Saponara,Empoli,290,3004,55.76923076923076,48.47457627118644,36.59730722154223,24.651162790697676,71.42598624683316,50.91657313879539,56.27240143369177,48.57142857142858,55.38461538461538,22.95081967213115,65.38461538461539,77.48493975903614,35.3515625,49.41860465116279,44.12351546143086
Center Attacking Midfield,7696,Ryder Matos Santos,Udinese,230,1684,19.230769230769234,27.11864406779661,0.0,9.767441860465116,63.73507057546145,61.69098391320615,43.01075268817205,65.71428571428572,36.92307692307692,16.393442622950822,84.39999999999999,59.18674698795181,34.9609375,25.581395348837212,29.669223954887716
Center Attacking Midfield,10530,Jules Olivier Ntcham,Genoa,233,1031,0.0,38.983050847457626,54.22276621787026,46.97674418604652,73.0184581976113,81.03254769921439,49.820788530465954,11.42857142857143,40.3076923076923,0.0,96.50769230769231,72.7409638554217,1.5624999999999991,32.55813953488372,28.57332526945811
Center Attacking Midfield,26192,Matías Ariel Fernández Fernández,Fiorentina,239,1027,50.0,45.08474576271186,33.59853121175031,55.348837209302324,83.98479913137895,100.0,56.63082437275986,11.42857142857143,32.30769230769231,13.114754098360656,84.61538461538461,86.29518072289156,56.4453125,45.348837209302324,42.00757893185437
Center Attacking Midfield,30829,Lorenzo Lollo,Carpi,1683,2350,5.769230769230769,0.0,23.684210526315784,73.95348837209303,72.16793340571843,41.67601945379727,27.24014336917563,20.000000000000004,22.153846153846157,18.0327868852459,63.41538461538462,24.246987951807228,22.460937499999996,0.0,18.0695017938748
Center Attacking Midfield,3186,Julian Draxler,Wolfsburg,179,2032,42.30769230769231,38.30508474576271,26.92778457772338,0.4651162790697679,0.0,79.04975682753462,47.67025089605735,54.28571428571429,66.76923076923077,42.622950819672134,76.92307692307693,50.97891566265061,7.8125,38.372093023255815,43.42301769102748
Center Attacking Midfield,5627,Ja-Cheol Koo,Augsburg,172,2227,7.6923076923076925,21.355932203389834,14.320685434516523,40.93023255813954,68.71154542164315,73.51290684624018,35.842293906810035,31.428571428571434,32.30769230769231,52.459016393442624,89.67692307692309,26.731927710843372,28.320312500000007,18.6046511627907,31.506939190037503
Center Attacking Midfield,5679,Yūya Ōsako,FC Köln,186,1295,0.0,25.76271186440678,26.682986536107705,35.348837209302324,39.73941368078176,58.810325476992176,55.19713261648745,62.85714285714287,36.0,9.836065573770492,83.52307692307693,43.29819277108434,44.92187500000001,21.22093023255814,27.910925847135914
Center Attacking Midfield,5684,Shinji Kagawa,Borussia Dortmund,180,2386,50.0,26.440677966101696,41.86046511627907,20.000000000000004,54.92218602967789,94.98690609801726,19.713261648745515,57.14285714285715,26.46153846153846,54.09836065573771,74.06153846153846,72.06325301204821,18.9453125,29.651162790697676,43.31840173707242
Center Attacking Midfield,8227,Mario Götze,Bayern Munich,169,1004,67.3076923076923,28.135593220338983,7.527539779681759,44.18604651162791,69.99638074556641,98.57837635615415,32.61648745519714,57.14285714285715,47.07692307692308,42.622950819672134,87.18461538461538,75.0,16.015625,33.720930232558146,45.113488227788636
Center Attacking Midfield,8243,Daniel Didavi,VfB Stuttgart,174,2768,17.307692307692307,21.016949152542374,30.844553243574047,26.51162790697675,37.53166847629389,52.375607931163515,86.37992831541219,94.28571428571428,20.30769230769231,68.85245901639344,82.9076923076923,44.57831325301205,29.882812500000007,19.767441860465116,40.78782965401231
Center Attacking Midfield,8308,Aaron Hunt,Hamburger SV,171,1861,17.307692307692307,43.050847457627114,27.968176254589967,32.55813953488372,75.17191458559537,47.17545828656943,19.713261648745515,17.142857142857142,34.46153846153846,6.557377049180328,88.55384615384617,44.57831325301205,32.421875,38.662790697674424,28.624085158837673
Center Attacking Midfield,8309,Michael Gregoritsch,Hamburger SV,171,1401,0.0,24.745762711864405,37.2093023255814,20.000000000000004,47.61129207383279,15.263748597081953,100.0,77.14285714285715,15.076923076923073,52.459016393442624,50.55384615384615,34.93975903614458,21.875000000000004,20.348837209302324,30.787217182507085
Center Attacking Midfield,8386,Max Kruse,Wolfsburg,179,2590,38.46153846153847,38.64406779661017,13.096695226438188,1.3953488372093024,79.04451682953312,77.10437710437714,53.76344086021505,57.14285714285715,32.61538461538461,32.786885245901644,78.63076923076923,47.74096385542169,0.9765625000000009,38.372093023255815,37.46641123820206
Center Attacking Midfield,8403,Nadiem Amiri,Hoffenheim,175,1490,46.15384615384615,49.152542372881356,20.86903304773562,46.04651162790698,73.0184581976113,51.92667414889639,58.06451612903226,31.428571428571434,47.692307692307686,39.34426229508197,57.49230769230769,61.822289156626496,36.32812500000001,48.25581395348837,41.28647365699056
Center Attacking Midfield,8508,Max Meyer,Schalke 04,181,2500,40.38461538461538,30.847457627118647,15.605875152998774,0.0,42.85197249366631,92.03142536475872,37.27598566308244,34.285714285714285,37.230769230769226,29.508196721311474,78.49230769230769,63.177710843373504,28.710937500000007,31.686046511627907,36.893616765247714
Center Attacking Midfield,8579,Vladimír Darida,Hertha Berlin,173,2772,11.538461538461538,22.033898305084747,34.944920440636466,24.651162790697676,56.42417661961636,75.30864197530866,25.80645161290323,17.142857142857142,15.384615384615383,26.229508196721312,95.38461538461539,37.65060240963856,23.437500000000004,19.767441860465116,28.29991621262977
Center Attacking Midfield,8679,Yunus Mallı,FSV Mainz 05,177,3053,21.153846153846153,23.728813559322038,10.893512851897182,0.9302325581395358,55.77271082157076,44.070332959221886,44.44444444444445,65.71428571428572,41.84615384615385,52.459016393442624,53.76923076923077,50.97891566265061,15.039062499999996,22.674418604651166,32.262710203994594
Center Attacking Midfield,8762,Zlatko Junuzović,Werder Bremen,176,2410,63.46153846153846,72.88135593220339,53.3047735618115,33.48837209302326,34.61816865725661,18.48110736999628,58.42293906810036,22.857142857142858,21.53846153846154,22.95081967213115,56.415384615384625,38.32831325301205,31.054687500000007,71.51162790697676,44.780736722791424
Center Attacking Midfield,13675,Mario Vrančić,Darmstadt 98,872,1110,15.384615384615385,24.067796610169488,28.641370869033047,42.7906976744186,53.70973579442635,19.940142162364406,18.637992831541215,34.285714285714285,17.230769230769234,26.229508196721312,96.50769230769231,14.38253012048193,27.5390625,22.093023255813954,26.907680282852247
Center Attacking Midfield,23268,Alexander Meier,Eintracht Frankfurt,184,1751,9.615384615384617,13.559322033898303,3.73317013463892,1.8604651162790702,81.63228374954761,28.320239431350547,69.89247311827957,88.57142857142858,8.307692307692307,100.0,74.35384615384615,0.0,0.0,12.209302325581394,34.731459668801264
Center Attacking Midfield,38524,Hiroshi Kiyotake,Hannover 96,178,1850,55.76923076923076,68.13559322033899,49.44920440636475,12.558139534883722,81.63228374954761,50.7295173961841,26.88172043010753,31.428571428571434,61.84615384615384,39.34426229508197,96.73846153846154,44.50301204819277,24.999999999999993,65.98837209302326,50.74997690238252
Center Attacking Midfield,40462,Halil Altıntop,Augsburg,172,1393,23.076923076923077,13.89830508474576,6.731946144430842,20.000000000000004,65.47231270358307,76.24392068836515,10.394265232974911,20.000000000000004,19.384615384615383,9.836065573770492,73.67692307692307,23.042168674698793,10.742187499999998,14.825581395348838,21.63017678883863
Center Attacking Midfield,40477,Jan Rosenthal,Darmstadt 98,872,1584,9.615384615384617,1.0169491525423737,8.323133414932677,13.953488372093027,88.09265291349982,0.0,12.544802867383511,14.285714285714288,20.0,0.0,75.52307692307693,10.090361445783131,8.984375000000002,1.744186046511628,11.775213584210771
Center Attacking Midfield,3089,Kevin De Bruyne,Manchester City,36,2056,75.0,88.13559322033898,51.46878824969401,26.51162790697675,60.948244661599716,46.65170220725779,53.40501792114696,45.714285714285715,55.38461538461538,49.18032786885246,75.23076923076923,82.2289156626506,7.6171875,86.04651162790698,58.17263105346935
