,main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90
11,Center Forward,3486,Fernando Llorente Torres,Sevilla,213,1306,42.66666666666667,27.0,27.0,52.666666666666664,73.33333333333333,47.333333333333336,33.0,86.66666666666667,83.66666666666667,66.33333333333333,38.333333333333336,80.0,1.3333333333333335,6.666666666666667,22.666666666666664,10.666666666666668,39.666666666666664
41,Center Forward,5217,Iago Aspas Juncal,Celta Vigo,209,2892,60.333333333333336,54.333333333333336,67.66666666666666,38.0,88.33333333333333,56.00000000000001,62.66666666666667,68.33333333333333,83.66666666666667,85.0,52.0,45.33333333333333,40.33333333333333,75.33333333333333,83.33333333333334,61.66666666666667,37.333333333333336
42,Center Forward,5246,Luis Alberto Suárez Díaz,Barcelona,217,3233,98.66666666666667,100.0,100.0,67.33333333333333,92.66666666666666,8.666666666666668,77.33333333333333,99.66666666666667,76.66666666666667,83.0,88.66666666666667,10.333333333333334,70.66666666666667,73.33333333333333,61.66666666666667,55.333333333333336,5.333333333333334
50,Right Center Forward,5487,Antoine Griezmann,Atlético Madrid,212,3349,67.33333333333333,90.66666666666666,86.33333333333333,76.0,89.33333333333333,70.0,72.0,61.66666666666667,55.666666666666664,90.0,47.333333333333336,13.333333333333334,18.666666666666668,80.0,90.33333333333333,91.33333333333333,63.33333333333333
73,Center Forward,6038,John Guidetti,Celta Vigo,209,1117,83.66666666666667,69.33333333333334,84.33333333333334,96.66666666666667,77.33333333333333,81.33333333333333,73.33333333333333,6.666666666666667,98.33333333333333,86.33333333333333,49.333333333333336,2.3333333333333335,82.66666666666667,37.333333333333336,59.333333333333336,72.0,86.66666666666667
85,Left Center Forward,6382,Fernando José Torres Sanz,Atlético Madrid,212,1582,72.33333333333334,92.0,89.33333333333333,49.0,45.0,27.666666666666668,92.66666666666666,54.0,26.666666666666668,43.333333333333336,92.66666666666666,86.0,79.66666666666666,91.33333333333333,25.333333333333336,70.66666666666667,62.33333333333333
95,Center Forward,6394,Aritz Aduriz Zubeldia,Athletic Club,215,2792,94.66666666666667,64.33333333333333,92.0,78.33333333333333,60.333333333333336,14.000000000000002,43.333333333333336,84.0,83.66666666666667,49.333333333333336,42.0,33.33333333333333,74.0,53.666666666666664,12.666666666666668,50.33333333333333,8.333333333333332
99,Center Forward,6401,Kevin Gameiro,Sevilla,213,2046,97.33333333333334,38.333333333333336,94.66666666666667,86.0,63.0,23.0,52.33333333333333,61.66666666666667,70.0,61.66666666666667,99.33333333333333,77.66666666666666,12.333333333333334,82.66666666666667,57.99999999999999,63.33333333333333,41.333333333333336
100,Center Forward,6402,Francisco Alcácer García,Valencia,207,2327,85.33333333333334,41.66666666666667,79.33333333333333,64.0,70.0,18.0,9.333333333333334,84.0,26.666666666666668,61.66666666666667,25.333333333333336,10.333333333333334,10.0,9.0,64.66666666666666,7.333333333333333,45.33333333333333
105,Center Forward,6566,Borja González Tomás,Eibar,322,2698,90.66666666666666,60.333333333333336,87.33333333333333,65.33333333333333,11.666666666666666,75.66666666666667,17.666666666666668,48.333333333333336,62.66666666666667,10.666666666666668,57.333333333333336,45.33333333333333,16.333333333333332,21.333333333333336,42.66666666666667,39.33333333333333,74.66666666666667
117,Center Forward,6602,Miguel Ángel Guerrero Martín,Sporting Gijón,1041,1206,9.0,31.666666666666664,7.666666666666666,34.66666666666667,52.33333333333333,95.66666666666667,75.66666666666667,31.333333333333336,26.666666666666668,57.666666666666664,42.66666666666667,91.33333333333333,14.666666666666666,28.000000000000004,80.66666666666666,8.0,89.33333333333333
132,Right Center Forward,6630,Jorge Molina Vidal,Real Betis,218,933,19.333333333333332,10.0,3.0,31.0,39.0,92.33333333333333,21.666666666666668,42.66666666666667,93.33333333333333,40.666666666666664,88.0,67.66666666666666,75.66666666666667,49.333333333333336,7.333333333333333,62.66666666666667,28.000000000000004
152,Center Forward,6677,Imanol Agirretxe Arruti,Real Sociedad,210,1298,93.33333333333333,99.0,98.0,74.66666666666667,0.6666666666666667,2.0,8.666666666666668,6.666666666666667,26.666666666666668,0.6666666666666667,50.66666666666667,35.333333333333336,63.66666666666667,14.666666666666666,37.333333333333336,15.333333333333332,14.000000000000002
162,Right Center Forward,6700,Sergio Enrich Ametller,Eibar,322,2319,29.333333333333332,69.33333333333334,44.333333333333336,71.33333333333334,65.66666666666666,47.333333333333336,48.0,94.66666666666667,87.33333333333333,47.333333333333336,34.0,57.99999999999999,77.33333333333333,50.66666666666667,38.333333333333336,81.33333333333333,90.66666666666666
166,Left Center Forward,6707,Charles Días Barbosa de Oliveira,Málaga,223,3067,37.666666666666664,60.333333333333336,47.66666666666667,69.33333333333334,54.0,75.66666666666667,12.666666666666668,37.333333333333336,26.666666666666668,59.333333333333336,76.0,57.99999999999999,37.0,31.333333333333336,50.0,25.0,26.0
172,Center Forward,6721,Willian José da Silva,Las Palmas,208,1766,32.0,89.0,71.0,57.99999999999999,64.0,92.33333333333333,74.66666666666667,20.333333333333332,26.666666666666668,70.33333333333334,10.0,67.66666666666666,56.99999999999999,34.0,69.33333333333334,24.0,33.33333333333333
178,Center Forward,6732,Lucas Pérez Martínez,RC Deportivo La Coruña,219,3252,70.0,60.333333333333336,73.66666666666667,72.66666666666667,96.33333333333334,68.0,67.66666666666666,84.0,55.666666666666664,97.66666666666667,75.33333333333333,98.66666666666667,52.33333333333333,84.0,66.66666666666666,59.333333333333336,46.666666666666664
181,Left Center Forward,6735,Adrián López Álvarez,Villarreal,222,930,23.666666666666668,84.33333333333334,54.666666666666664,99.33333333333333,92.0,10.666666666666668,49.666666666666664,98.66666666666667,26.666666666666668,83.0,83.33333333333334,2.3333333333333335,16.333333333333332,78.0,30.666666666666664,9.0,23.333333333333332
187,Right Center Forward,6744,Luciano Vietto,Atlético Madrid,212,1116,14.333333333333334,10.0,2.0,0.6666666666666667,50.33333333333333,90.66666666666666,85.66666666666667,90.33333333333333,26.666666666666668,32.666666666666664,69.33333333333334,26.666666666666668,57.99999999999999,84.66666666666667,90.33333333333333,66.0,62.33333333333333
194,Right Center Forward,6761,Leonardo Carrilho Baptistão,Villarreal,222,1114,23.666666666666668,38.333333333333336,21.666666666666668,2.0,13.666666666666666,18.666666666666668,85.66666666666667,37.333333333333336,90.0,15.0,98.0,45.33333333333333,98.0,100.0,19.333333333333332,78.66666666666666,94.0
199,Center Forward,6766,Gerard Moreno Balaguero,Espanyol,214,1767,52.33333333333333,38.333333333333336,47.66666666666667,46.0,29.333333333333332,67.0,100.0,68.33333333333333,26.666666666666668,27.0,28.666666666666668,61.0,25.666666666666664,81.33333333333333,56.00000000000001,72.66666666666667,72.0
227,Center Forward,6832,Rubén Castro Martín,Real Betis,218,3544,67.33333333333333,69.33333333333334,76.66666666666667,80.66666666666666,24.0,26.0,28.333333333333332,48.333333333333336,26.666666666666668,27.0,44.0,16.0,54.0,48.0,57.333333333333336,51.66666666666667,0.6666666666666667
234,Right Center Forward,6847,Adalberto Peñaranda Maestre,Granada,1049,1957,0.6666666666666667,87.33333333333333,18.666666666666668,46.0,17.333333333333336,85.33333333333334,93.33333333333333,61.66666666666667,70.0,13.0,78.66666666666666,2.3333333333333335,60.0,87.33333333333333,67.33333333333333,48.333333333333336,74.0
239,Right Center Forward,6862,Cédric Bakambu,Villarreal,222,1960,70.0,82.0,83.33333333333334,88.66666666666667,21.333333333333336,72.0,68.66666666666667,61.66666666666667,26.666666666666668,19.0,92.0,67.66666666666666,49.666666666666664,71.33333333333334,52.0,42.0,69.33333333333334
246,Center Forward,6880,Arnaldo Antonio Sanabria Ayala,Sporting Gijón,1041,2513,60.333333333333336,38.333333333333336,58.333333333333336,23.333333333333332,2.666666666666667,51.33333333333333,57.99999999999999,16.0,26.666666666666668,2.666666666666667,40.666666666666664,81.33333333333333,41.66666666666667,65.66666666666666,61.66666666666667,56.99999999999999,42.66666666666667
273,Center Forward,7781,Felipe Salvador Caicedo Corozo,Espanyol,214,2420,28.333333333333332,54.333333333333336,32.33333333333333,43.333333333333336,5.333333333333334,71.33333333333334,79.66666666666666,6.666666666666667,62.66666666666667,9.666666666666666,62.66666666666667,82.0,38.0,45.33333333333333,72.0,5.333333333333334,19.333333333333332
283,Center Forward,8167,Sergio Ezequiel Araújo,Las Palmas,208,1863,42.66666666666667,17.666666666666668,21.666666666666668,39.0,45.0,47.333333333333336,72.66666666666667,65.33333333333333,26.666666666666668,40.666666666666664,84.0,26.666666666666668,15.333333333333332,76.66666666666667,60.66666666666667,76.33333333333333,36.0
286,Right Center Forward,8419,Duje Čop,Málaga,223,2327,39.666666666666664,27.0,27.0,69.33333333333334,19.333333333333332,5.0,27.333333333333332,54.0,26.666666666666668,18.0,86.0,29.333333333333332,10.0,52.666666666666664,36.0,46.0,47.333333333333336
290,Center Forward,8584,Jonathas Cristian de Jesus,Real Sociedad,210,1579,63.66666666666667,38.333333333333336,58.333333333333336,53.333333333333336,37.0,57.333333333333336,84.33333333333334,54.0,26.666666666666668,36.0,19.0,75.66666666666667,72.0,27.333333333333332,48.0,19.333333333333332,70.33333333333334
313,Center Forward,11542,Javier Guerra Rodríguez,Rayo Vallecano,360,2137,74.33333333333333,64.33333333333333,79.33333333333333,59.66666666666667,56.666666666666664,34.66666666666667,52.33333333333333,6.666666666666667,70.0,70.33333333333334,11.333333333333332,55.666666666666664,85.33333333333334,35.0,56.666666666666664,30.0,50.66666666666667
347,Center Forward,19677,Karim Benzema,Real Madrid,220,2405,96.0,96.66666666666667,97.33333333333334,84.0,83.33333333333334,66.0,58.666666666666664,80.66666666666666,62.66666666666667,79.0,53.333333333333336,54.666666666666664,12.333333333333334,63.33333333333333,88.66666666666667,22.0,3.3333333333333335
354,Center Forward,20542,Álvaro Negredo Sánchez,Valencia,207,1118,79.0,21.666666666666668,61.66666666666667,6.0,70.0,70.66666666666667,61.33333333333333,72.66666666666667,26.666666666666668,66.33333333333333,66.66666666666666,96.0,29.666666666666668,20.0,24.666666666666668,38.0,10.666666666666668
361,Center Forward,23416,Stefan Šćepović,Getafe,216,1575,35.66666666666667,60.333333333333336,44.333333333333336,90.33333333333333,74.66666666666667,8.0,7.333333333333333,20.333333333333332,76.66666666666667,77.0,15.333333333333332,45.33333333333333,82.0,20.666666666666668,44.666666666666664,10.0,19.333333333333332
382,Center Forward,24035,Álvaro Vázquez García,Getafe,216,2238,52.33333333333333,6.333333333333334,16.333333333333332,10.666666666666668,50.33333333333333,6.0,19.666666666666664,72.66666666666667,70.0,45.666666666666664,80.66666666666666,83.66666666666667,29.666666666666668,25.0,35.333333333333336,16.0,42.0
407,Right Center Forward,25134,Deyverson Brum Silva Acosta,Levante UD,221,2239,42.66666666666667,54.333333333333336,50.0,37.333333333333336,35.0,14.666666666666666,33.0,18.0,26.666666666666668,45.666666666666664,57.99999999999999,24.0,90.66666666666666,26.333333333333332,2.0,78.0,78.66666666666666
415,Left Center Forward,26009,Roberto Soldado Rillo,Villarreal,222,2518,7.000000000000001,45.0,11.666666666666666,71.33333333333334,55.00000000000001,47.333333333333336,44.666666666666664,97.33333333333334,62.66666666666667,24.0,64.0,31.0,83.33333333333334,42.333333333333336,33.33333333333333,33.666666666666664,30.0
435,Center Forward,26685,Nicolás Ladislao Fedor Flores,Rayo Vallecano,360,1677,88.33333333333333,27.0,76.66666666666667,55.333333333333336,80.33333333333333,24.0,48.0,72.66666666666667,26.666666666666668,78.0,80.0,61.0,33.33333333333333,39.33333333333333,71.33333333333334,68.0,78.0
452,Center Forward,27109,Youssef El-Arabi,Granada,1049,2526,81.66666666666667,74.0,85.33333333333334,80.0,27.333333333333332,76.66666666666667,74.0,16.0,62.66666666666667,36.0,38.333333333333336,70.66666666666667,62.0,44.0,32.666666666666664,69.33333333333334,76.66666666666667
465,Right Center Forward,27250,Nabil Ghilas,Levante UD,221,933,5.0,7.666666666666666,0.6666666666666667,6.666666666666667,50.33333333333333,42.0,90.33333333333333,42.66666666666667,26.666666666666668,53.333333333333336,90.0,98.66666666666667,14.000000000000002,79.33333333333333,11.333333333333332,21.333333333333336,57.333333333333336
528,Center Forward,3237,Sergio Leonel Agüero del Castillo,Manchester City,36,2715,91.66666666666666,94.66666666666667,95.33333333333334,74.0,39.0,74.66666666666667,97.33333333333334,25.333333333333336,83.66666666666667,43.333333333333336,65.33333333333333,6.333333333333334,40.33333333333333,95.0,99.33333333333333,90.0,4.666666666666667
533,Center Forward,3265,José Luis Sanmartín Mato,Stoke City,30,937,19.333333333333332,84.33333333333334,54.666666666666664,90.33333333333333,39.0,16.0,56.333333333333336,42.66666666666667,93.33333333333333,39.0,32.0,45.33333333333333,66.66666666666666,51.33333333333333,52.666666666666664,74.0,98.66666666666667
538,Center Forward,3278,Benik Afobe,AFC Bournemouth,28,1125,3.6666666666666665,90.66666666666666,40.666666666666664,21.0,42.333333333333336,16.0,29.333333333333332,6.666666666666667,26.666666666666668,56.00000000000001,12.0,67.66666666666666,6.666666666666667,12.0,100.0,12.666666666666668,51.33333333333333
541,Center Forward,3289,Romelu Lukaku Menama,Everton,29,3388,81.66666666666667,41.66666666666667,73.66666666666667,56.333333333333336,78.0,58.666666666666664,71.0,68.33333333333333,55.666666666666664,77.0,8.666666666666668,57.99999999999999,10.0,53.666666666666664,58.666666666666664,32.0,2.666666666666667
559,Center Forward,3318,Marcus Rashford,Manchester United,39,1034,3.6666666666666665,98.0,67.66666666666666,100.0,19.333333333333332,7.333333333333333,67.66666666666666,93.66666666666667,26.666666666666668,4.0,94.66666666666667,2.3333333333333335,5.333333333333334,78.66666666666666,70.0,28.999999999999996,16.666666666666664
566,Center Forward,3337,Jermain Defoe,Sunderland,41,2638,74.33333333333333,69.33333333333334,81.0,89.33333333333333,13.666666666666666,34.0,33.0,16.0,62.66666666666667,20.333333333333332,31.333333333333336,19.666666666666664,27.0,42.333333333333336,66.0,40.666666666666664,22.666666666666664
573,Center Forward,3346,Joshua King,AFC Bournemouth,28,2259,16.0,45.0,20.333333333333332,54.0,45.0,67.0,98.0,31.333333333333336,26.666666666666668,49.333333333333336,93.33333333333333,45.33333333333333,20.666666666666668,88.66666666666667,73.33333333333333,77.33333333333333,96.0
576,Center Forward,3380,Christian Benteke Liolo,Liverpool,24,1323,98.0,11.333333333333332,88.33333333333333,11.333333333333332,94.66666666666667,59.333333333333336,38.666666666666664,86.66666666666667,83.66666666666667,94.0,14.000000000000002,45.33333333333333,56.99999999999999,33.33333333333333,43.333333333333336,54.333333333333336,15.333333333333332
593,Right Center Forward,3454,Troy Deeney,Watford,23,3389,39.666666666666664,54.333333333333336,44.333333333333336,54.666666666666664,90.0,78.0,41.0,80.66666666666666,55.666666666666664,88.66666666666667,32.666666666666664,75.66666666666667,17.666666666666668,44.666666666666664,6.0,85.33333333333334,56.666666666666664
634,Center Forward,3529,Daniel Andre Sturridge,Liverpool,24,1029,72.33333333333334,97.33333333333334,94.0,68.0,5.333333333333334,63.33333333333333,91.33333333333333,37.333333333333336,26.666666666666668,4.0,4.0,19.666666666666664,20.0,60.0,84.66666666666667,40.0,4.0
639,Center Forward,3538,Wayne Mark Rooney,Manchester United,39,2528,19.333333333333332,60.333333333333336,29.666666666666668,31.0,87.33333333333333,83.66666666666667,63.66666666666667,77.0,26.666666666666668,81.33333333333333,17.333333333333336,26.666666666666668,4.666666666666667,86.66666666666667,95.33333333333334,84.66666666666667,9.333333333333334
654,Center Forward,3598,Wilfried Guemiand Bony,Manchester City,36,1217,88.33333333333333,2.0,32.33333333333333,25.333333333333336,29.333333333333332,83.66666666666667,66.66666666666666,88.33333333333333,26.666666666666668,19.0,21.333333333333336,79.33333333333333,53.333333333333336,19.0,92.66666666666666,70.0,2.0
657,Center Forward,3603,Mame Biram Diouf,Stoke City,30,1128,56.333333333333336,49.333333333333336,58.333333333333336,82.66666666666667,11.666666666666666,72.66666666666667,54.666666666666664,31.333333333333336,26.666666666666668,13.0,46.666666666666664,45.33333333333333,74.66666666666667,46.33333333333333,65.33333333333333,80.66666666666666,64.66666666666666
658,Center Forward,3604,Olivier Giroud,Arsenal,1,2438,81.66666666666667,81.0,86.33333333333333,60.66666666666667,74.0,39.666666666666664,18.666666666666668,88.33333333333333,26.666666666666668,64.33333333333333,61.33333333333333,63.33333333333333,25.666666666666664,23.333333333333332,42.0,6.0,50.0
666,Center Forward,3616,Callum Wilson,AFC Bournemouth,28,852,45.0,93.0,82.33333333333334,82.66666666666667,35.0,5.0,69.66666666666667,6.666666666666667,26.666666666666668,51.0,96.0,98.66666666666667,60.66666666666667,72.0,63.33333333333333,61.66666666666667,48.0
692,Center Forward,3670,Jonathan Walters,Stoke City,30,1692,32.0,34.66666666666667,25.0,40.0,68.66666666666667,36.0,48.0,48.333333333333336,26.666666666666668,70.33333333333334,48.0,73.66666666666667,31.333333333333336,57.666666666666664,16.0,64.0,21.333333333333336
706,Right Center Forward,3810,Shinji Okazaki,Leicester City,22,2640,19.333333333333332,21.666666666666668,11.666666666666666,3.3333333333333335,8.333333333333332,53.333333333333336,42.333333333333336,6.666666666666667,62.66666666666667,17.0,87.33333333333333,34.66666666666667,63.66666666666667,25.0,75.66666666666667,38.666666666666664,70.33333333333334
713,Center Forward,3842,Shane Long,Southampton,25,2163,42.66666666666667,74.0,63.66666666666667,35.66666666666667,86.33333333333333,20.333333333333332,16.666666666666664,72.66666666666667,26.666666666666668,81.33333333333333,35.333333333333336,64.33333333333333,59.333333333333336,22.0,18.0,43.333333333333336,44.0
723,Center Forward,3962,Diafra Sakho,West Ham United,40,1702,56.333333333333336,12.666666666666668,25.0,51.33333333333333,17.333333333333336,26.666666666666668,69.66666666666667,20.333333333333332,26.666666666666668,22.0,74.0,34.0,48.66666666666667,62.0,15.333333333333332,75.33333333333333,35.333333333333336
733,Center Forward,4041,José Salomón Rondón Giménez,West Bromwich Albion,27,2826,26.666666666666668,54.333333333333336,29.666666666666668,20.0,31.666666666666664,37.333333333333336,30.0,25.333333333333336,26.666666666666668,39.0,44.666666666666664,36.666666666666664,22.666666666666664,40.0,17.333333333333336,56.99999999999999,59.333333333333336
740,Center Forward,4269,Aleksandar Mitrović,Newcastle United,37,2070,87.0,12.666666666666668,58.333333333333336,44.666666666666664,71.33333333333334,55.333333333333336,42.333333333333336,77.0,70.0,64.33333333333333,56.666666666666664,88.0,84.0,56.00000000000001,60.0,54.333333333333336,66.66666666666666
741,Center Forward,4271,Andy Carroll,West Ham United,40,1221,76.33333333333333,94.66666666666667,93.33333333333333,58.666666666666664,68.0,31.333333333333336,38.0,31.333333333333336,26.666666666666668,73.33333333333333,0.6666666666666667,94.66666666666667,70.0,2.666666666666667,6.666666666666667,74.66666666666667,24.666666666666668
758,Left Center Forward,4630,Saido Berahino,West Bromwich Albion,27,1598,47.0,12.666666666666668,18.666666666666668,21.0,56.666666666666664,94.66666666666667,88.66666666666667,6.666666666666667,76.66666666666667,70.33333333333334,18.0,5.0,45.33333333333333,70.0,82.0,89.33333333333333,43.333333333333336
768,Center Forward,4807,Cameron Jerome,Norwich City,56,1789,49.333333333333336,3.6666666666666665,8.666666666666668,1.3333333333333335,1.3333333333333335,13.333333333333334,39.33333333333333,48.333333333333336,26.666666666666668,1.3333333333333335,37.333333333333336,32.666666666666664,1.3333333333333335,32.666666666666664,8.0,14.333333333333334,17.333333333333336
781,Center Forward,5198,Diego da Silva Costa,Chelsea,33,2551,63.66666666666667,45.0,65.33333333333333,59.66666666666667,42.333333333333336,30.0,87.33333333333333,77.0,26.666666666666668,31.666666666666664,54.0,91.33333333333333,69.0,88.0,89.33333333333333,34.66666666666667,20.666666666666668
783,Left Center Forward,5458,Odion Jude Ighalo,Watford,23,3390,72.33333333333334,27.0,58.333333333333336,78.33333333333333,41.0,74.0,78.33333333333333,20.333333333333332,76.66666666666667,48.0,70.0,23.333333333333332,46.0,61.33333333333333,79.33333333333333,58.666666666666664,32.666666666666664
828,Center Forward,9554,Steven Fletcher,Sunderland,41,1032,10.666666666666668,89.0,44.333333333333336,86.66666666666667,41.0,62.33333333333333,71.0,6.666666666666667,90.0,54.333333333333336,16.666666666666664,86.0,33.33333333333333,36.333333333333336,12.0,23.333333333333332,28.666666666666668
853,Center Forward,10955,Harry Kane,Tottenham Hotspur,38,3564,89.66666666666666,74.0,90.66666666666666,75.33333333333333,56.666666666666664,79.0,79.66666666666666,13.666666666666666,76.66666666666667,68.0,39.33333333333333,45.33333333333333,42.66666666666667,74.0,55.00000000000001,86.0,26.666666666666668
856,Left Center Forward,10960,Jamie Vardy,Leicester City,22,3394,93.33333333333333,64.33333333333333,90.66666666666666,66.0,65.66666666666666,54.666666666666664,60.0,61.66666666666667,99.66666666666667,64.33333333333333,89.33333333333333,67.66666666666666,8.666666666666668,62.66666666666667,9.333333333333334,31.0,31.333333333333336
860,Center Forward,11062,Graziano Pellè,Southampton,25,2167,39.666666666666664,84.33333333333334,71.0,15.333333333333332,79.33333333333333,39.666666666666664,23.666666666666668,90.33333333333333,70.0,74.66666666666667,2.666666666666667,77.66666666666666,35.0,9.0,22.0,37.0,12.0
891,Center Forward,19362,Rudy Gestede,Aston Villa,59,1321,47.0,38.333333333333336,44.333333333333336,12.0,29.333333333333332,91.33333333333333,50.66666666666667,25.333333333333336,83.66666666666667,36.0,10.666666666666668,89.33333333333333,11.333333333333332,5.0,2.666666666666667,27.0,30.666666666666664
907,Center Forward,20521,Bafétimbi Gomis,Swansea City,26,1694,60.333333333333336,20.0,37.666666666666664,14.000000000000002,22.333333333333332,94.0,89.33333333333333,6.666666666666667,76.66666666666667,36.0,7.333333333333333,83.66666666666667,31.333333333333336,46.33333333333333,94.0,44.666666666666664,14.666666666666666
910,Center Forward,20641,Connor Wickham,Crystal Palace,31,1413,35.66666666666667,49.333333333333336,37.666666666666664,2.666666666666667,31.666666666666664,98.0,65.33333333333333,84.0,26.666666666666668,22.0,9.333333333333334,57.99999999999999,37.0,15.333333333333332,26.0,26.0,58.666666666666664
921,Center Forward,23663,Dieumerci Mbokani Bezua,Norwich City,56,1411,56.333333333333336,69.33333333333334,69.66666666666667,88.0,85.33333333333334,89.33333333333333,84.33333333333334,25.333333333333336,26.666666666666668,92.0,52.666666666666664,45.33333333333333,94.33333333333334,57.666666666666664,45.33333333333333,92.66666666666666,7.333333333333333
933,Center Forward,28559,Enner Remberto Valencia Lastra,West Ham United,40,946,45.0,60.333333333333336,54.666666666666664,24.333333333333336,37.0,27.666666666666668,82.66666666666667,84.0,26.666666666666668,27.0,60.66666666666667,26.666666666666668,66.0,95.0,76.66666666666667,96.0,81.33333333333333
