question,expected_players,sql,sql_query
"Show me the offensive midfielders under 24 years old, with a value below 3 million euros, who have the most key passes per 90 and chances created per 90 minutes.","Allan Saint-Maximin, Hiroshi Kiyotake, Kevin Lasagna, Nadiem Amiri, Marco Jhonfai Fabián De La Mora","
SELECT p.player_name, p.main_position, p.age, p.value_eur,
       s.key_passes_per90, s.chances_created_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'offensive midfield'
  AND p.age < 24
  AND p.value_eur < 3000000
ORDER BY s.key_passes_per90 DESC, s.chances_created_per90 DESC
LIMIT 5;
",
Show me the 5 defensive midfielders under 24 years old who have played more than 1000 minutes.,"Eric Dier, Fernando Lucas Martins, Gonzalo Escalante, Jorge Luiz Frello Filho, Amadou Diawara",,"SELECT 
    pp.player_name, 
    pp.main_position, 
    pp.age, 
    ps.minutes_played
FROM 
    player_profile pp
JOIN 
    player_stats ps ON pp.player_id = ps.player_id
WHERE 
    pp.main_position = 'defensive midfield' 
    AND pp.age < 24 
    AND ps.minutes_played > 1000
ORDER BY 
    ps.minutes_played DESC
LIMIT 5;"
Who are the 5 side backs with the most ball recoveries per 90?,"Fabio Daprelà, Gilberto Moraes Junior, Robert Kenedy Nunes do Nascimento, Wallace Oliveira dos Santos, Emiliano Buendía","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.ball_recoveries_per90
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'side back'
ORDER BY ps.ball_recoveries_per90 DESC
LIMIT 5;",
List 5 center midfielders with at least 0.25 goal assists per 90 and a pass completion rate over 85%.,"Johannes Flum, Kevin Strootman, Panagiotis Giorgios Kone, James David Rodríguez Rubio, James Philip Milner","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.goal_assists_per90,
    ps.pass_completion_rate
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'center midfield'
  AND ps.goal_assists_per90 >= 0.25
  AND ps.pass_completion_rate > 0.85
ORDER BY ps.goal_assists_per90 DESC
LIMIT 5;",
Who are the 5 center backs with the highest number of clearances per 90?,"Steven Caulker, Marc Wilson, Calum Chambers, James Collins, David Kinsombi","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.clearances_per90
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'center back'
ORDER BY ps.clearances_per90 DESC
LIMIT 5;",
"Give me 5 strikers under 24 years old with at least 0.4 goals per 90, a shot accuracy above 50%, and fewer than 1 foul committed per 90.","Paulo Bruno Exequiel Dybala, Francisco Alcácer García, Bertrand Isidore Traoré, Romelu Lukaku Menama, Mauro Emanuel Icardi Rivero","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.goals_scored_per90,
    ps.shot_accuracy,
    ps.fouls_committed_per90
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'striker'
  AND pp.age < 24
  AND ps.goals_scored_per90 >= 0.4
  AND ps.shot_accuracy > 0.5
  AND ps.fouls_committed_per90 < 1
ORDER BY ps.goals_scored_per90 DESC
LIMIT 5;",
"Which 5 offensive midfielders complete the most progressive passes and carries per 90, while also having a pass completion rate over 80%?","Alexander Baumjohann, Allan Saint-Maximin, Miloš Jojić, Jonhatan Montiel Caballero, Jack Wilshere","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.progressive_passes_completed_per90,
    ps.progressive_carries_per90,
    ps.pass_completion_rate
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'offensive midfield'
  AND ps.pass_completion_rate > 0.80
ORDER BY 
    (ps.progressive_passes_completed_per90 + ps.progressive_carries_per90) DESC
LIMIT 5;",
"Find 5 defensive midfielders with at least 8 ball recoveries per 90, more than 40 total passes per 90, and fewer than 0.5 yellow cards per 90.","Bryan Cristante, Borja Fernández Fernández, Alexandre Dimitri Song-Billong, Raffaele Maiello, Rachid Aït-Atmane","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.ball_recoveries_per90,
    ps.total_passes_per90,
    ps.yellow_cards_per90
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'defensive midfield'
  AND ps.ball_recoveries_per90 >= 8
  AND ps.total_passes_per90 > 40
  AND ps.yellow_cards_per90 < 0.5
ORDER BY ps.ball_recoveries_per90 DESC
LIMIT 5;",
"Show me 5 strikers with more than 0.4 goals per 90, a market value under 2 million euros, and more than 850 minutes played.","Jamie Vardy, Alfreð Finnbogason, Sandro Wagner, Sergio Pellissier, Marco Borriello","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.goals_scored_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'striker'
  AND ps.goals_scored_per90 > 0.4
  AND pp.value_eur < 2000000
  AND ps.minutes_played > 850
ORDER BY ps.goals_scored_per90 DESC
LIMIT 5;",
"Find 5 wingers with more than 1.5 successful dribbles per 90, at least 0.2 assists per 90, and fewer than 1.5 total shots per 90.","Jonathan Leko, Jonás Manuel Gutiérrez, Vadis Odjidja-Ofoe, Oluwaseyi Babajide Ojo, Joaquín Sánchez Rodríguez","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.dribbles_completed_per90,
    ps.goal_assists_per90,
    ps.shots_total_per90
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'winger'
  AND ps.dribbles_completed_per90 > 1.5
  AND ps.goal_assists_per90 >= 0.2
  AND ps.shots_total_per90 < 1.5
ORDER BY ps.dribbles_completed_per90 DESC
LIMIT 5;",
"Find 5 center midfielders with more than 1.5 progressive carries per 90, over 4 completed progressive passes per 90, and more than 850 minutes played.","İlkay Gündoğan, Thiago Alcântara do Nascimento, Andrés Iniesta Luján, Marek Hamšík, Luka Modrić","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.progressive_carries_per90,
    ps.progressive_passes_completed_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'center midfield'
  AND ps.progressive_carries_per90 > 1.5
  AND ps.progressive_passes_completed_per90 > 4
  AND ps.minutes_played > 850
ORDER BY (ps.progressive_carries_per90 + ps.progressive_passes_completed_per90) DESC
LIMIT 5;",
"Give me 5 side backs with more than 7 pressures per 90, at least 6 ball recoveries per 90, and more than 850 minutes played.","Gaetano Letizia, Achraf Lazaar, Senad Lulić, Wendell Nascimento Borges, Alex Sandro Lobo Silva","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.pressures_per90,
    ps.ball_recoveries_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'side back'
  AND ps.pressures_per90 > 7
  AND ps.ball_recoveries_per90 >= 6
  AND ps.minutes_played > 850
ORDER BY (ps.pressures_per90 + ps.ball_recoveries_per90) DESC
LIMIT 5;",
"Show me 3 center backs with more than 1 progressive carry per 90, more than 850 minutes played, and at least 4 clearances per 90.","Mats Hummels, Gerard Piqué Bernabéu, José Ramiro Funes Mori","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.progressive_carries_per90,
    ps.clearances_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'center back'
  AND ps.progressive_carries_per90 > 1
  AND ps.clearances_per90 >= 4
  AND ps.minutes_played > 850
ORDER BY ps.progressive_carries_per90 DESC
LIMIT 3;",
"Show me 3 wingers with more than 1.5 tackles won per 90, more than 5 pressures per 90, and more than 850 minutes played.","Robin Quaison, Lucas Vázquez Iglesias, Leonardo Bittencourt","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.tackles_successful_per90,
    ps.pressures_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'winger'
  AND ps.tackles_successful_per90 > 1.5
  AND ps.pressures_per90 > 5
  AND ps.minutes_played > 850
ORDER BY (ps.tackles_successful_per90 + ps.pressures_per90) DESC
LIMIT 3;",
"Show me 3 strikers with at least 0.25 goal assists per 90, fewer than 1.5 total shots per 90, and more than 850 minutes played.","Adrián López Álvarez, Roberto Soldado Rillo, Marcus Rashford","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.goal_assists_per90,
    ps.shots_total_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'striker'
  AND ps.goal_assists_per90 >= 0.25
  AND ps.shots_total_per90 < 1.5
  AND ps.minutes_played > 850
ORDER BY ps.goal_assists_per90 DESC
LIMIT 3;",
"Find 5 offensive midfielders or wingers with at least 2.5 chances created per 90, a final third pass accuracy over 70%, and more than 850 minutes played.","Mesut Özil, Dimitri Payet, Sérgio Paulo Barbosa Valente, Kevin De Bruyne, Adem Ljajić","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.chances_created_per90,
    ps.passes_final_third_accuracy,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position IN ('offensive midfield', 'winger')
  AND ps.chances_created_per90 >= 2.5
  AND ps.passes_final_third_accuracy > 0.7
  AND ps.minutes_played > 850
ORDER BY ps.chances_created_per90 DESC
LIMIT 5;",
"Show me 5 offensive midfielders or wingers with at least 0.25 goal assists per 90, fewer than 0.2 yellow cards per 90, and more than 850 minutes played.","Gerard Deulofeu Lázaro, Mesut Özil, Lionel Andrés Messi Cuccittini, Gareth Frank Bale, Henrikh Mkhitaryan","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.goal_assists_per90,
    ps.yellow_cards_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position IN ('offensive midfield', 'winger')
  AND ps.goal_assists_per90 >= 0.25
  AND ps.yellow_cards_per90 < 0.2
  AND ps.minutes_played > 850
ORDER BY ps.goal_assists_per90 DESC
LIMIT 5;",
"Show me 5 side backs with more than 4 passes to the final third per 90, a final third pass accuracy over 75%, and more than 850 minutes played.","Ashley Young, Juan Guillermo Cuadrado Bello, Márcio Rafael Ferreira de Souza, Maicon Douglas Sisenando, Aleksandar Kolarov","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.passes_final_third_per90,
    ps.passes_final_third_accuracy,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'side back'
  AND ps.passes_final_third_per90 > 4
  AND ps.passes_final_third_accuracy > 0.75
  AND ps.minutes_played > 850
ORDER BY ps.passes_final_third_per90 DESC
LIMIT 5;",
"Show me 5 center backs with more than 2 passes to the box per 90, fewer than 1 foul committed per 90, and more than 850 minutes played.","Daley Blind, Jérôme Boateng, Luis Hernández Rodríguez, Mats Hummels, Maya Yoshida","SELECT 
    pp.player_name,
    t.team,
    pp.value_eur,
    ps.passes_to_box_per90,
    ps.fouls_committed_per90,
    ps.minutes_played
FROM player_profile pp
JOIN player_stats ps ON pp.player_id = ps.player_id
JOIN teams t ON pp.team_id = t.team_id
WHERE pp.main_position = 'center back'
  AND ps.passes_to_box_per90 > 2
  AND ps.fouls_committed_per90 < 1
  AND ps.minutes_played > 850
ORDER BY ps.passes_to_box_per90 DESC
LIMIT 5;",
"Which 2 center backs have the most clearances per 90 minutes?","Steven Caulker, Marc Wilson","SELECT p.player_name, p.main_position, s.clearances_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center back'
ORDER BY s.clearances_per90 DESC
LIMIT 2;",
"Find 2 defensive midfielders with the highest number of interceptions per 90 minutes.","Eddy Silvestre Pascual Israfilov, Gorka Elustondo Urkola","SELECT p.player_name, p.main_position, s.interceptions_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'defensive midfield'
ORDER BY s.interceptions_per90 DESC
LIMIT 2;",
"Give me 2 wingers with the most dribbles completed per 90.","Nicolás Federico López Alonso, Demarai Gray","SELECT p.player_name, p.main_position, s.dribbles_completed_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger'
ORDER BY s.dribbles_completed_per90 DESC
LIMIT 2;",
"Show me 2 goalkeepers with the most saves per 90 minutes.","Alberto Brignoli, Massimo Zenildo Zappino","SELECT p.player_name, p.main_position, s.saves_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper'
ORDER BY s.saves_per90 DESC
LIMIT 2;",
"Which 2 offensive midfielders draw the most fouls per 90 minutes?","Alexander Baumjohann, Sonny Kittel","SELECT p.player_name, p.main_position, s.fouls_won_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'offensive midfield'
ORDER BY s.fouls_won_per90 DESC
LIMIT 2;",
"Give me 2 side backs with the highest number of progressive carries per 90 minutes.","Wallace Oliveira dos Santos, Gilberto Moraes Junior","SELECT p.player_name, p.main_position, s.progressive_carries_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'side back'
ORDER BY s.progressive_carries_per90 DESC
LIMIT 2;",
"Find 2 center midfielders with the highest number of chances created per 90.","Andrea Lazzari, James David Rodríguez Rubio","SELECT p.player_name, p.main_position, s.chances_created_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center midfield'
ORDER BY s.chances_created_per90 DESC
LIMIT 2;",
"Which 2 strikers have the best headed shot duel success rate?","Lucas Pérez Martínez, Enrique Sola Clemente","SELECT p.player_name, p.main_position, s.headed_shot_duel_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'striker'
ORDER BY s.headed_shot_duel_rate DESC
LIMIT 2;",
"Tell me 2 wingers with the highest number of fouls won per 90.","Diego Ángel Capel Trinidad, Filippo Falco","SELECT p.player_name, p.main_position, s.fouls_won_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger'
ORDER BY s.fouls_won_per90 DESC
LIMIT 2;",
"Give me 2 center backs with the best duel success rate.","Diego Mainz García, Matt Miazga","SELECT p.player_name, p.main_position, s.duel_success_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center back'
ORDER BY s.duel_success_rate DESC
LIMIT 2;",
"Give me 2 goalkeepers with the highest pass completion rate.","Norberto Murara Neto, Michel Vorm","SELECT p.player_name, p.main_position, s.pass_completion_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper'
ORDER BY s.pass_completion_rate DESC
LIMIT 2;",
"Show me 2 side backs with the highest number of successful tackles per 90.","Timothy Evans Fosu-Mensah, Leon Guwara","SELECT p.player_name, p.main_position, s.tackles_successful_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'side back'
ORDER BY s.tackles_successful_per90 DESC
LIMIT 2;",
"Which 2 offensive midfielders have the most assists per 90 minutes?","Alexander Baumjohann, Aras Özbiliz","SELECT p.player_name, p.main_position, s.goal_assists_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'offensive midfield'
ORDER BY s.goal_assists_per90 DESC
LIMIT 2;",
"Give me 2 center midfielders with the best dribble success rate.","Juan Domínguez Lamas, Darron Gibson","SELECT p.player_name, p.main_position, s.dribble_success_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center midfield'
ORDER BY s.dribble_success_rate DESC
LIMIT 2;",
"Find 2 wingers with the highest number of progressive carries per 90 minutes.","Filippo Falco, Dries Mertens","SELECT p.player_name, p.main_position, s.progressive_carries_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger'
ORDER BY s.progressive_carries_per90 DESC
LIMIT 2;",
"Give me 2 side backs with the most duels won per 90 minutes.","Timothy Evans Fosu-Mensah, Leon Guwara","SELECT p.player_name, p.main_position, s.duels_won_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'side back'
ORDER BY s.duels_won_per90 DESC
LIMIT 2;",
"Which 2 defensive midfielders commit the most fouls per 90 minutes?","Eddy Silvestre Pascual İsrafilov, Giulio Migliaccio","SELECT p.player_name, p.main_position, s.fouls_committed_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'defensive midfield'
ORDER BY s.fouls_committed_per90 DESC
LIMIT 2;",
"Show me 2 goalkeepers with the lowest xG minus goals conceded per 90 minutes.","Iago Herrerín Buisán, Fabrizio Alastra","SELECT p.player_name, p.main_position, s.xg_against_minus_goals_conceded_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper'
ORDER BY s.xg_against_minus_goals_conceded_per90 ASC
LIMIT 2;",
"Give me 2 strikers with the highest goals minus expected goals per 90 minutes.","Francesco Totti, Jon Bautista Orgilles","SELECT p.player_name, p.main_position, s.goals_minus_xg_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'striker'
ORDER BY s.goals_minus_xg_per90 DESC
LIMIT 2;",
"Find 2 center backs with the most interceptions per 90 minutes.","Felipe Trevizan Martins, Marc Wilson","SELECT p.player_name, p.main_position, s.interceptions_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center back'
ORDER BY s.interceptions_per90 DESC
LIMIT 2;",
"Show me 2 wingers with the highest goals per 90 minutes.","Cristiano Ronaldo dos Santos Aveiro, Gareth Frank Bale","SELECT p.player_name, p.main_position, s.goals_scored_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger'
ORDER BY s.goals_scored_per90 DESC
LIMIT 2;",
"Give me 2 center midfielders with the most assists per 90.","Johannes Flum, Kevin Strootman","SELECT p.player_name, p.main_position, s.goal_assists_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center midfield'
ORDER BY s.goal_assists_per90 DESC
LIMIT 2;",
"Which 2 goalkeepers act most as sweepers per 90 minutes?","Iago Herrerín Buisán, Luca Lezzerini","SELECT p.player_name, p.main_position, s.keeper_sweeper_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper'
ORDER BY s.keeper_sweeper_per90 DESC
LIMIT 2;",
"Find 2 strikers who win the most fouls per 90 minutes.","Robbie Kruse, Radamel Falcao García Zárate","SELECT p.player_name, p.main_position, s.fouls_won_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'striker'
ORDER BY s.fouls_won_per90 DESC
LIMIT 2;",
"Give me 2 side backs with the highest interception success rate.","Luke Shaw, Mathieu Debuchy","SELECT p.player_name, p.main_position, s.interception_success_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'side back'
ORDER BY s.interception_success_rate DESC
LIMIT 2;",
"Find 2 defensive midfielders with the highest number of ball recoveries per 90 minutes.","Bryan Cristante, Eddy Silvestre Pascual İsrafilov","SELECT p.player_name, p.main_position, s.ball_recoveries_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'defensive midfield'
ORDER BY s.ball_recoveries_per90 DESC
LIMIT 2;",
"Show me 2 offensive midfielders with the highest pass completion rate.","Kevin Nolan, Jack Wilshere","SELECT p.player_name, p.main_position, s.pass_completion_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'offensive midfield'
ORDER BY s.pass_completion_rate DESC
LIMIT 2;",
"Which 2 center backs block the most shots per 90 minutes?","David Kinsombi, Calum Chambers","SELECT p.player_name, p.main_position, s.blocks_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center back'
ORDER BY s.blocks_per90 DESC
LIMIT 2;",
"Find 2 wingers with the best dribble success rate.","Gaël Kakuta, Miguel Arturo Layún Prado","SELECT p.player_name, p.main_position, s.dribble_success_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger'
ORDER BY s.dribble_success_rate DESC
LIMIT 2;",
"Give me 2 strikers with the highest pass completion rate.","Emmanuel Rivière, Alexandre Rodrigues da Silva","SELECT p.player_name, p.main_position, s.pass_completion_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'striker'
ORDER BY s.pass_completion_rate DESC
LIMIT 2;",
"Show me 2 side backs who commit the fewest fouls per 90 minutes.","José Joaquín Matos García, Manuel Pablo García Díaz","SELECT p.player_name, p.main_position, s.fouls_committed_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'side back'
ORDER BY s.fouls_committed_per90 ASC
LIMIT 2;",
"Which 2 center midfielders apply the most pressures per 90 minutes?","Johannes Flum, Cameron Brannagan","SELECT p.player_name, p.main_position, s.pressures_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center midfield'
ORDER BY s.pressures_per90 DESC
LIMIT 2;",
"Find 2 goalkeepers with the lowest save percentage.","Iago Herrerín Buisán, Ádám Bogdán","SELECT p.player_name, p.main_position, s.save_percentage
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper'
ORDER BY s.save_percentage ASC
LIMIT 2;",
"Give me 2 offensive midfielders with the most dribbles completed per 90.","Allan Saint-Maximin, Alexander Baumjohann","SELECT p.player_name, p.main_position, s.dribbles_completed_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'offensive midfield'
ORDER BY s.dribbles_completed_per90 DESC
LIMIT 2;",
"Who is the center back under 25 years old with the highest number of blocks per 90?","David Kinsombi","SELECT p.player_name, p.main_position, p.age, s.blocks_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'center back' AND p.age < 25
ORDER BY s.blocks_per90 DESC
LIMIT 1;",
"Find the winger with the highest dribbles completed per 90 and a pass completion rate above 80%.","Lionel Andrés Messi Cuccittini","SELECT p.player_name, p.main_position, s.dribbles_completed_per90, s.pass_completion_rate
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'winger' AND s.pass_completion_rate > 80
ORDER BY s.dribbles_completed_per90 DESC
LIMIT 1;",
"Show me the goalkeeper with the best save percentage who also has more than 1.5 sweeper actions per 90.","Roman Weidenfeller","SELECT p.player_name, p.main_position, s.save_percentage, s.keeper_sweeper_per90
FROM player_profile p
JOIN player_stats s ON p.player_id = s.player_id
WHERE p.main_position = 'goalkeeper' AND s.keeper_sweeper_per90 > 1.5
ORDER BY s.save_percentage DESC
LIMIT 1;",